nodes,split,n,line_consumers,line_searchers,search_segments,time_taken
2,2000,240000,2,2,3,3762579494
2,4000,240000,2,2,3,2651541719
2,8000,240000,2,2,3,2532462370
2,2000,220000,2,2,3,2727489233
2,4000,220000,2,2,3,2159477896
2,8000,220000,2,2,3,2346846097
2,2000,220000,2,2,3,2313839358
2,4000,220000,2,2,3,2308870958
2,8000,220000,2,2,3,2286743302
2,2000,200000,2,2,3,2127799511
2,4000,200000,2,2,3,2142307980
2,8000,200000,2,2,3,2024485929
2,2000,200000,2,2,3,2073216986
2,4000,200000,2,2,3,2027610029
2,8000,200000,2,2,3,2010181154
2,2000,200000,2,2,3,2060734009
2,4000,200000,2,2,3,2075503017
2,8000,200000,2,2,3,2101768507
2,2000,180000,2,2,3,1857700309
2,4000,180000,2,2,3,1870079070
2,8000,180000,2,2,3,1754494889
2,2000,180000,2,2,3,2003747419
2,4000,180000,2,2,3,1747244800
2,8000,180000,2,2,3,1868620052
2,2000,180000,2,2,3,2129556965
2,4000,180000,2,2,3,1979940471
2,8000,180000,2,2,3,1842060863
2,2000,180000,2,2,3,2291050091
2,4000,180000,2,2,3,1819705433
2,8000,180000,2,2,3,1870534224
2,2000,160000,2,2,3,1968426226
2,4000,160000,2,2,3,1781853458
2,8000,160000,2,2,3,1645411158
2,2000,160000,2,2,3,2033494262
2,4000,160000,2,2,3,1727544104
2,8000,160000,2,2,3,1721302616
2,2000,160000,2,2,3,1942222714
2,4000,160000,2,2,3,1745684724
2,8000,160000,2,2,3,1680533395
2,2000,160000,2,2,3,1844719545
2,4000,160000,2,2,3,1782941801
2,8000,160000,2,2,3,1748027206
2,2000,160000,2,2,3,2006113982
2,4000,160000,2,2,3,1777823000
2,8000,160000,2,2,3,1706648481
2,2000,140000,2,2,3,1729544728
2,4000,140000,2,2,3,1492764911
2,8000,140000,2,2,3,1541045946
2,2000,140000,2,2,3,1729384457
2,4000,140000,2,2,3,1654556077
2,8000,140000,2,2,3,1486034715
2,2000,140000,2,2,3,1764573802
2,4000,140000,2,2,3,1538541218
2,8000,140000,2,2,3,1507623134
2,2000,140000,2,2,3,1625531243
2,4000,140000,2,2,3,1591567615
2,8000,140000,2,2,3,1642207713
2,2000,140000,2,2,3,1699945524
2,4000,140000,2,2,3,1602257610
2,8000,140000,2,2,3,1566754040
2,2000,140000,2,2,3,1736581254
2,4000,140000,2,2,3,1626366547
2,8000,140000,2,2,3,1505982134
2,2000,120000,2,2,3,1396959589
2,4000,120000,2,2,3,1265619115
2,8000,120000,2,2,3,1393419022
2,2000,120000,2,2,3,1297428953
2,4000,120000,2,2,3,1347756798
2,8000,120000,2,2,3,1249164104
2,2000,120000,2,2,3,1414799799
2,4000,120000,2,2,3,1368183056
2,8000,120000,2,2,3,1365653065
2,2000,120000,2,2,3,1400742931
2,4000,120000,2,2,3,1591895658
2,8000,120000,2,2,3,1296509172
2,2000,120000,2,2,3,1368888485
2,4000,120000,2,2,3,1297545802
2,8000,120000,2,2,3,1368137265
2,2000,120000,2,2,3,1343630808
2,4000,120000,2,2,3,1364615251
