split,n,line_consumers,line_searchers,search_segments,time_taken
500,160000,1,3,4,1911806945
500,160000,1,3,4,1981125089
500,160000,1,3,4,2046111170
500,160000,1,3,4,2063719306
500,160000,1,3,4,1942519039
500,160000,1,3,4,2150495184
500,160000,1,3,4,2098412919
500,160000,1,3,4,2206365140
500,160000,1,3,4,1968199560
500,160000,1,3,4,2204175819
500,160000,1,3,4,1975147678
500,160000,1,3,4,1962746388
500,160000,1,3,4,2022381932
500,160000,1,3,4,1950763539
2000,10000,2,2,4,183609374
2000,10000,2,2,4,158487433
2000,10000,2,2,4,157073019
2000,10000,2,2,4,120366540
2000,10000,2,2,4,117195852
2000,10000,2,2,4,115981580
2000,10000,2,2,4,116182115
2000,10000,2,2,4,116511343
2000,10000,2,2,4,118843962
2000,10000,2,2,4,116983472
2000,10000,2,2,4,121145396
2000,10000,2,2,4,118547894
2000,10000,2,2,4,118027999
2000,10000,2,2,4,118077739
2000,10000,2,2,4,127902057
2000,10000,2,2,4,140694946
2000,10000,2,2,4,138305087
2000,10000,2,2,4,135001760
2000,10000,2,2,4,162215913
2000,10000,2,2,4,133886967
2000,10000,1,3,4,158875480
2000,10000,1,3,4,158528488
2000,10000,1,3,4,158665863
2000,10000,1,3,4,155489254
2000,10000,1,3,4,162480005
2000,10000,1,3,4,172442093
2000,10000,1,3,4,162409739
2000,10000,1,3,4,158731393
2000,10000,1,3,4,159858424
2000,10000,1,3,4,159836318
2000,10000,1,3,4,154059839
2000,10000,1,3,4,154289192
2000,10000,1,3,4,157441722
2000,10000,1,3,4,154656316
2000,10000,1,3,4,157278688
2000,10000,1,3,4,161686939
2000,10000,1,3,4,160424901
2000,10000,1,3,4,162915817
2000,10000,1,3,4,159914085
2000,10000,1,3,4,162139331
2000,40000,2,2,4,441608730
2000,40000,2,2,4,415450552
2000,40000,2,2,4,470429938
2000,40000,2,2,4,442204418
2000,40000,2,2,4,410484114
2000,40000,2,2,4,483224012
2000,40000,2,2,4,417770934
2000,40000,2,2,4,426694416
2000,40000,2,2,4,399636982
2000,40000,2,2,4,409775130
2000,40000,2,2,4,396141803
2000,40000,2,2,4,428346474
2000,40000,2,2,4,386539734
2000,40000,2,2,4,422376958
2000,40000,2,2,4,381791991
2000,40000,2,2,4,513728069
2000,40000,2,2,4,453281299
2000,40000,2,2,4,435856725
2000,40000,2,2,4,420583577
2000,40000,2,2,4,408175575
2000,40000,1,3,4,472284112
2000,40000,1,3,4,476601173
2000,40000,1,3,4,476061936
2000,40000,1,3,4,479778178
2000,40000,1,3,4,463963029
2000,40000,1,3,4,479355788
2000,40000,1,3,4,475377032
2000,40000,1,3,4,541286450
2000,40000,1,3,4,490844006
2000,40000,1,3,4,501525736
2000,40000,1,3,4,475738630
2000,40000,1,3,4,475936008
2000,40000,1,3,4,470998783
2000,40000,1,3,4,484733563
2000,40000,1,3,4,478653516
2000,40000,1,3,4,473994199
2000,40000,1,3,4,476505643
2000,40000,1,3,4,509124414
2000,40000,1,3,4,525833293
2000,40000,1,3,4,469721349
2000,160000,2,2,4,1718488128
2000,160000,2,2,4,1759847213
2000,160000,2,2,4,1571746294
2000,160000,2,2,4,1676899689
2000,160000,2,2,4,1633657613
2000,160000,2,2,4,1726621701
2000,160000,2,2,4,1607845638
2000,160000,2,2,4,1468904991
2000,160000,2,2,4,1612472584
2000,160000,2,2,4,1793615121
2000,160000,2,2,4,1531935840
2000,160000,2,2,4,1728602197
2000,160000,2,2,4,1625171522
2000,160000,2,2,4,1544514773
2000,160000,2,2,4,1478405213
2000,160000,2,2,4,1608640283
2000,160000,2,2,4,1578446110
2000,160000,2,2,4,1540565229
2000,160000,2,2,4,1420499494
2000,160000,2,2,4,1792980747
2000,160000,1,3,4,1669512207
2000,160000,1,3,4,1708676838
2000,160000,1,3,4,1578335578
2000,160000,1,3,4,1645798365
2000,160000,1,3,4,1538920671
2000,160000,1,3,4,1638083628
2000,160000,1,3,4,1666209670
2000,160000,1,3,4,1572939250
2000,160000,1,3,4,1520450781
2000,160000,1,3,4,1689546124
2000,160000,1,3,4,1692201260
2000,160000,1,3,4,1707906667
2000,160000,1,3,4,1738295455
2000,160000,1,3,4,1642295685
2000,160000,1,3,4,1601415441
2000,160000,1,3,4,1687948148
2000,160000,1,3,4,1675436720
2000,160000,1,3,4,1588718082
2000,160000,1,3,4,1803872882
2000,160000,1,3,4,1677722363
8000,10000,2,2,4,159451035
8000,10000,2,2,4,96497953
8000,10000,2,2,4,113382499
8000,10000,2,2,4,90140391
8000,10000,2,2,4,77371581
8000,10000,2,2,4,98603981
8000,10000,2,2,4,71150212
8000,10000,2,2,4,84290487
8000,10000,2,2,4,75806370
8000,10000,2,2,4,87477756
8000,10000,2,2,4,76401663
8000,10000,2,2,4,82561452
8000,10000,2,2,4,67552791
8000,10000,2,2,4,86674820
8000,10000,2,2,4,65193723
8000,10000,2,2,4,87332090
8000,10000,2,2,4,78425188
8000,10000,2,2,4,85602660
8000,10000,2,2,4,73925353
8000,10000,2,2,4,89955250
8000,10000,1,3,4,80146723
8000,10000,1,3,4,71488123
8000,10000,1,3,4,69461046
8000,10000,1,3,4,69953703
8000,10000,1,3,4,80021190
8000,10000,1,3,4,69479205
8000,10000,1,3,4,71333379
8000,10000,1,3,4,69950150
8000,10000,1,3,4,71193240
8000,10000,1,3,4,75777158
8000,10000,1,3,4,77465139
8000,10000,1,3,4,73007148
8000,10000,1,3,4,77413426
8000,10000,1,3,4,76214549
8000,10000,1,3,4,70497678
8000,10000,1,3,4,81627062
8000,10000,1,3,4,73086889
8000,10000,1,3,4,71473122
8000,10000,1,3,4,71997755
8000,10000,1,3,4,78413345
8000,40000,2,2,4,392366742
8000,40000,2,2,4,419043236
8000,40000,2,2,4,366634902
8000,40000,2,2,4,365254042
8000,40000,2,2,4,353982545
8000,40000,2,2,4,351817303
8000,40000,2,2,4,377144517
8000,40000,2,2,4,362446925
8000,40000,2,2,4,365127325
8000,40000,2,2,4,362360473
8000,40000,2,2,4,363968713
8000,40000,2,2,4,365649194
8000,40000,2,2,4,404783034
8000,40000,2,2,4,401387728
8000,40000,2,2,4,360865529
8000,40000,2,2,4,391334452
8000,40000,2,2,4,386299722
8000,40000,2,2,4,362567326
8000,40000,2,2,4,372809296
8000,40000,2,2,4,393214285
8000,40000,1,3,4,456790689
8000,40000,1,3,4,437166134
8000,40000,1,3,4,430628959
8000,40000,1,3,4,441408193
8000,40000,1,3,4,485418466
8000,40000,1,3,4,481050480
8000,40000,1,3,4,438306192
8000,40000,1,3,4,447870760
8000,40000,1,3,4,449702432
8000,40000,1,3,4,430263808
8000,40000,1,3,4,425845688
8000,40000,1,3,4,432354441
8000,40000,1,3,4,442803658
8000,40000,1,3,4,440159576
8000,40000,1,3,4,452092291
8000,40000,1,3,4,430084984
8000,40000,1,3,4,470036365
8000,40000,1,3,4,463809863
8000,40000,1,3,4,436298459
8000,40000,1,3,4,441179629
8000,160000,2,2,4,1672946593
8000,160000,2,2,4,1556111549
8000,160000,2,2,4,1583380967
8000,160000,2,2,4,1661157965
8000,160000,2,2,4,1448757779
8000,160000,2,2,4,1729008797
8000,160000,2,2,4,1518131189
8000,160000,2,2,4,1584576686
8000,160000,2,2,4,1522758135
8000,160000,2,2,4,1725619808
8000,160000,2,2,4,1506128997
8000,160000,2,2,4,1638365090
8000,160000,2,2,4,1583105822
8000,160000,2,2,4,1730432685
8000,160000,2,2,4,1699791647
8000,160000,2,2,4,1605353142
8000,160000,2,2,4,1508233052
8000,160000,2,2,4,1640102810
8000,160000,2,2,4,1490569650
8000,160000,2,2,4,1603930438
8000,160000,1,3,4,1648274675
8000,160000,1,3,4,1567638453
8000,160000,1,3,4,1636329329
8000,160000,1,3,4,1636041550
8000,160000,1,3,4,1660753339
8000,160000,1,3,4,1640150970
8000,160000,1,3,4,1610797630
8000,160000,1,3,4,1615168775
8000,160000,1,3,4,1708758552
8000,160000,1,3,4,1664657486
8000,160000,1,3,4,1629410027
8000,160000,1,3,4,1639352772
8000,160000,1,3,4,1622144526
8000,160000,1,3,4,1628458664
8000,160000,1,3,4,1600790935
8000,160000,1,3,4,1635809433
8000,160000,1,3,4,1728655095
8000,160000,1,3,4,1604844300
8000,160000,1,3,4,1627466244
8000,160000,1,3,4,1661054538
