split,n,line_consumers,line_searchers,search_segments,time_taken
500,10000,2,2,4,802146610
500,10000,2,2,4,271188977
500,10000,2,2,4,243379925
500,10000,2,2,4,251473628
500,10000,2,2,4,182202460
500,10000,2,2,4,157465802
500,10000,2,2,4,168393465
500,10000,2,2,4,137837695
500,10000,2,2,4,153611394
500,10000,2,2,4,143726680
500,10000,2,2,4,225108992
500,10000,2,2,4,144236311
500,10000,2,2,4,197870365
500,10000,2,2,4,222550572
500,10000,2,2,4,149540661
500,10000,2,2,4,158209524
500,10000,2,2,4,146157593
500,10000,2,2,4,254824326
500,10000,2,2,4,135325066
500,10000,2,2,4,163352418
500,10000,1,3,4,206487910
500,10000,1,3,4,251756668
500,10000,1,3,4,201881096
500,10000,1,3,4,205343510
500,10000,1,3,4,224953063
500,10000,1,3,4,240799399
500,10000,1,3,4,176625727
500,10000,1,3,4,169298248
500,10000,1,3,4,167447627
500,10000,1,3,4,185943177
500,10000,1,3,4,182669063
500,10000,1,3,4,202008997
500,10000,1,3,4,201602398
500,10000,1,3,4,165374364
500,10000,1,3,4,174251264
500,10000,1,3,4,174231132
500,10000,1,3,4,171108209
500,10000,1,3,4,284949021
500,10000,1,3,4,179761677
500,10000,1,3,4,187067050
500,40000,2,2,4,431046611
500,40000,2,2,4,436107396
500,40000,2,2,4,476499721
500,40000,2,2,4,549806885
500,40000,2,2,4,506399011
500,40000,2,2,4,506929564
500,40000,2,2,4,486550629
500,40000,2,2,4,469376331
500,40000,2,2,4,411095593
500,40000,2,2,4,463614853
500,40000,2,2,4,450459181
500,40000,2,2,4,477505562
500,40000,2,2,4,412995163
500,40000,2,2,4,506977330
500,40000,2,2,4,469558314
500,40000,2,2,4,496436529
500,40000,2,2,4,480024901
500,40000,2,2,4,441806898
500,40000,2,2,4,535498128
500,40000,2,2,4,565107272
500,40000,1,3,4,467639795
500,40000,1,3,4,549099875
500,40000,1,3,4,484903308
500,40000,1,3,4,482320019
500,40000,1,3,4,528163938
500,40000,1,3,4,503794404
500,40000,1,3,4,569884225
500,40000,1,3,4,540435354
500,40000,1,3,4,585961494
500,40000,1,3,4,536379226
500,40000,1,3,4,529690858
500,40000,1,3,4,549733460
500,40000,1,3,4,508025805
500,40000,1,3,4,572561863
500,40000,1,3,4,469238956
500,40000,1,3,4,569637897
500,40000,1,3,4,536368963
500,40000,1,3,4,491410088
500,40000,1,3,4,613398289
500,40000,1,3,4,548072322
500,160000,2,2,4,1856352666
500,160000,2,2,4,1746843523
500,160000,2,2,4,1696112906
500,160000,2,2,4,1865793674
500,160000,2,2,4,1899031819
500,160000,2,2,4,1711313025
500,160000,2,2,4,1777783787
500,160000,2,2,4,1893484299
500,160000,2,2,4,1702493364
500,160000,2,2,4,1781479502
500,160000,2,2,4,1862182043
500,160000,2,2,4,1620201137
500,160000,2,2,4,1722779926
500,160000,2,2,4,1920193163
500,160000,2,2,4,1692465352
500,160000,2,2,4,1663738491
500,160000,2,2,4,1662173674
500,160000,2,2,4,1818736667
500,160000,2,2,4,1812529114
500,160000,2,2,4,1839373773
500,160000,1,3,4,1979895026
500,160000,1,3,4,2195382212
500,160000,1,3,4,1924804318
500,160000,1,3,4,2060411637
500,160000,1,3,4,1918752695
500,160000,1,3,4,2089298374
