nodes,split,n,line_consumers,line_searchers,search_segments,time_taken
2,16000,256000,2,2,3,4168112395
2,64000,256000,2,2,3,3088892748
2,128000,256000,2,2,3,698399659
2,16000,244000,2,2,3,3120285330
2,64000,244000,2,2,3,2573473577
2,128000,244000,2,2,3,452853889
2,16000,244000,2,2,3,3052909155
2,64000,244000,2,2,3,2358461004
2,128000,244000,2,2,3,439478764
2,16000,232000,2,2,3,2897579751
2,64000,232000,2,2,3,2134377726
2,128000,232000,2,2,3,451007615
2,16000,232000,2,2,3,2815350090
2,64000,232000,2,2,3,2173042109
2,128000,232000,2,2,3,412784965
2,16000,232000,2,2,3,2839183486
2,64000,232000,2,2,3,2187883753
2,128000,232000,2,2,3,433478472
2,16000,220000,2,2,3,2663527304
2,64000,220000,2,2,3,2031567458
2,128000,220000,2,2,3,417298605
2,16000,220000,2,2,3,2658453503
2,64000,220000,2,2,3,1933007134
2,128000,220000,2,2,3,418681041
2,16000,220000,2,2,3,2688725767
2,64000,220000,2,2,3,1982422302
2,128000,220000,2,2,3,410784341
2,16000,220000,2,2,3,2634133372
2,64000,220000,2,2,3,2154206323
2,128000,220000,2,2,3,407376017
2,16000,208000,2,2,3,2427277249
2,64000,208000,2,2,3,1746582399
2,128000,208000,2,2,3,372020480
2,16000,208000,2,2,3,2492806361
2,64000,208000,2,2,3,1850556408
2,128000,208000,2,2,3,408333301
2,16000,208000,2,2,3,2557549907
2,64000,208000,2,2,3,1937712625
2,128000,208000,2,2,3,394621054
2,16000,208000,2,2,3,2448517889
2,64000,208000,2,2,3,1912939709
2,128000,208000,2,2,3,412896680
2,16000,208000,2,2,3,2416898323
2,64000,208000,2,2,3,1707772352
2,128000,208000,2,2,3,409117286
2,16000,196000,2,2,3,2369772739
2,64000,196000,2,2,3,1565463976
2,128000,196000,2,2,3,392610561
2,16000,196000,2,2,3,2329838427
2,64000,196000,2,2,3,1580213248
2,128000,196000,2,2,3,378681988
2,16000,196000,2,2,3,2420902334
2,64000,196000,2,2,3,1645163251
2,128000,196000,2,2,3,372942236
2,16000,196000,2,2,3,2387012525
2,64000,196000,2,2,3,1801307826
2,128000,196000,2,2,3,370321055
2,16000,196000,2,2,3,2318587089
2,64000,196000,2,2,3,1651457241
2,128000,196000,2,2,3,406944943
2,16000,196000,2,2,3,2254008945
2,64000,196000,2,2,3,1633806909
2,128000,196000,2,2,3,382889298
2,16000,184000,2,2,3,2160109110
2,64000,184000,2,2,3,1402132078
2,128000,184000,2,2,3,363711259
2,16000,184000,2,2,3,2124719230
2,64000,184000,2,2,3,1480542474
2,128000,184000,2,2,3,344903107
2,16000,184000,2,2,3,2180801829
2,64000,184000,2,2,3,1518216808
2,128000,184000,2,2,3,377068226
2,16000,184000,2,2,3,2120766932
2,64000,184000,2,2,3,1337511300
2,128000,184000,2,2,3,361693662
2,16000,184000,2,2,3,2171074644
2,64000,184000,2,2,3,1361901698
2,128000,184000,2,2,3,348530125
2,16000,184000,2,2,3,2144755074
2,64000,184000,2,2,3,1367178797
2,128000,184000,2,2,3,363800474
2,16000,184000,2,2,3,2092522530
2,64000,184000,2,2,3,1467977784
2,128000,184000,2,2,3,416050387
2,16000,172000,2,2,3,2071380186
2,64000,172000,2,2,3,1166531397
2,128000,172000,2,2,3,383634204
2,16000,172000,2,2,3,1924158676
2,64000,172000,2,2,3,1209360061
2,128000,172000,2,2,3,349207922
2,16000,172000,2,2,3,2053311412
2,64000,172000,2,2,3,1082154263
2,128000,172000,2,2,3,346205802
2,16000,172000,2,2,3,2046572926
2,64000,172000,2,2,3,1180774590
2,128000,172000,2,2,3,324893317
2,16000,172000,2,2,3,2040810276
2,64000,172000,2,2,3,1202763292
2,128000,172000,2,2,3,341305695
2,16000,172000,2,2,3,1974886409
2,64000,172000,2,2,3,1173443575
2,128000,172000,2,2,3,338770967
2,16000,172000,2,2,3,2083015225
2,64000,172000,2,2,3,1166658508
2,128000,172000,2,2,3,324969900
2,16000,172000,2,2,3,2060325437
2,64000,172000,2,2,3,1235535151
2,128000,172000,2,2,3,332287493
2,16000,160000,2,2,3,1895447279
2,64000,160000,2,2,3,1002681183
2,128000,160000,2,2,3,304848788
2,16000,160000,2,2,3,1952077798
2,64000,160000,2,2,3,1005175252
2,128000,160000,2,2,3,312488897
2,16000,160000,2,2,3,1850715890
2,64000,160000,2,2,3,1100344622
2,128000,160000,2,2,3,310687625
2,16000,160000,2,2,3,1852990869
2,64000,160000,2,2,3,997335002
2,128000,160000,2,2,3,317345976
2,16000,160000,2,2,3,1894778956
2,64000,160000,2,2,3,1197849763
2,128000,160000,2,2,3,308270140
2,16000,160000,2,2,3,1903468721
2,64000,160000,2,2,3,1068913355
2,128000,160000,2,2,3,304809708
2,16000,160000,2,2,3,1901982465
2,64000,160000,2,2,3,1026279306
2,128000,160000,2,2,3,324485929
2,16000,160000,2,2,3,1819365153
2,64000,160000,2,2,3,1079953103
2,128000,160000,2,2,3,320603898
2,16000,160000,2,2,3,1867290118
2,64000,160000,2,2,3,1019333178
2,128000,160000,2,2,3,309760344
2,16000,148000,2,2,3,1687642556
2,64000,148000,2,2,3,848801323
2,128000,148000,2,2,3,304388503
2,16000,148000,2,2,3,1672523005
2,64000,148000,2,2,3,768187399
2,128000,148000,2,2,3,297100122
2,16000,148000,2,2,3,1715864062
2,64000,148000,2,2,3,803279239
2,128000,148000,2,2,3,319957682
2,16000,148000,2,2,3,1630687546
2,64000,148000,2,2,3,783853293
2,128000,148000,2,2,3,287033053
2,16000,148000,2,2,3,1661788008
2,64000,148000,2,2,3,811952424
2,128000,148000,2,2,3,281386462
2,16000,148000,2,2,3,1638691621
2,64000,148000,2,2,3,784147781
2,128000,148000,2,2,3,279363733
2,16000,148000,2,2,3,1686250251
2,64000,148000,2,2,3,825383999
2,128000,148000,2,2,3,300141718
2,16000,148000,2,2,3,1595616628
2,64000,148000,2,2,3,793639690
2,128000,148000,2,2,3,281406990
2,16000,148000,2,2,3,1640164061
2,64000,148000,2,2,3,804867342
2,128000,148000,2,2,3,281106975
2,16000,148000,2,2,3,1656211684
2,64000,148000,2,2,3,774179006
2,128000,148000,2,2,3,289683051
2,16000,136000,2,2,3,1499921443
2,64000,136000,2,2,3,485563377
2,128000,136000,2,2,3,295984541
2,16000,136000,2,2,3,1485155988
2,64000,136000,2,2,3,454274222
2,128000,136000,2,2,3,298522428
2,16000,136000,2,2,3,1591452347
2,64000,136000,2,2,3,471152411
2,128000,136000,2,2,3,301510731
2,16000,136000,2,2,3,1500328832
2,64000,136000,2,2,3,464396556
2,128000,136000,2,2,3,299559847
2,16000,136000,2,2,3,1522855191
2,64000,136000,2,2,3,469864717
