nodes,split,n,line_consumers,line_searchers,search_segments,time_taken
2,1000,120000,2,2,3,1826467209
2,1000,120000,1,3,4,839314546
2,2000,120000,2,2,3,770390533
2,2000,120000,1,3,4,736770343
2,2000,120000,2,2,3,756367613
2,2000,120000,1,3,4,827062502
2,3000,120000,2,2,3,753734984
2,3000,120000,1,3,4,744636252
2,3000,120000,2,2,3,680604450
2,3000,120000,1,3,4,758600748
2,3000,120000,2,2,3,744885738
2,3000,120000,1,3,4,796707340
2,4000,120000,2,2,3,716567517
2,4000,120000,1,3,4,794748165
2,4000,120000,2,2,3,760570975
2,4000,120000,1,3,4,724819497
2,4000,120000,2,2,3,695301218
2,4000,120000,1,3,4,752216358
2,4000,120000,2,2,3,756739473
2,4000,120000,1,3,4,756708287
2,1000,119000,2,2,3,871549142
2,1000,119000,1,3,4,716174340
2,1000,119000,2,2,3,726773540
2,1000,119000,1,3,4,788960646
2,1000,119000,2,2,3,848146817
2,1000,119000,1,3,4,800274355
2,1000,119000,2,2,3,784722940
2,1000,119000,1,3,4,879220041
2,1000,119000,2,2,3,845013244
2,1000,119000,1,3,4,795311087
2,2000,119000,2,2,3,709203738
2,2000,119000,1,3,4,735024337
2,2000,119000,2,2,3,707669321
2,2000,119000,1,3,4,775926591
2,2000,119000,2,2,3,752548743
2,2000,119000,1,3,4,756730393
2,2000,119000,2,2,3,788249296
2,2000,119000,1,3,4,804077041
2,2000,119000,2,2,3,727330936
2,2000,119000,1,3,4,772892890
2,2000,119000,2,2,3,690636781
2,2000,119000,1,3,4,821228796
2,3000,119000,2,2,3,770870556
2,3000,119000,1,3,4,799468658
2,3000,119000,2,2,3,737454849
2,3000,119000,1,3,4,769963011
2,3000,119000,2,2,3,801191768
2,3000,119000,1,3,4,821018787
2,3000,119000,2,2,3,775056549
2,3000,119000,1,3,4,805890945
2,3000,119000,2,2,3,700748458
2,3000,119000,1,3,4,760072004
2,3000,119000,2,2,3,768785849
2,3000,119000,1,3,4,786878703
2,3000,119000,2,2,3,791041011
2,3000,119000,1,3,4,803505828
2,4000,119000,2,2,3,793210196
2,4000,119000,1,3,4,768392277
2,4000,119000,2,2,3,734620107
2,4000,119000,1,3,4,792406473
2,4000,119000,2,2,3,768361091
2,4000,119000,1,3,4,828763506
2,4000,119000,2,2,3,795144501
2,4000,119000,1,3,4,919748462
2,4000,119000,2,2,3,711667410
2,4000,119000,1,3,4,793031766
2,4000,119000,2,2,3,740008132
2,4000,119000,1,3,4,772535242
2,4000,119000,2,2,3,753079295
2,4000,119000,1,3,4,778385921
2,4000,119000,2,2,3,821458939
2,4000,119000,1,3,4,787490180
2,1000,118000,2,2,3,898582037
2,1000,118000,1,3,4,772166540
2,1000,118000,2,2,3,937632490
2,1000,118000,1,3,4,858368237
2,1000,118000,2,2,3,965432396
2,1000,118000,1,3,4,771855077
2,1000,118000,2,2,3,985101116
2,1000,118000,1,3,4,879587164
2,1000,118000,2,2,3,896468118
2,1000,118000,1,3,4,844990348
2,1000,118000,2,2,3,976895323
2,1000,118000,1,3,4,853351677
2,1000,118000,2,2,3,916633441
2,1000,118000,1,3,4,851320262
2,1000,118000,2,2,3,899926970
2,1000,118000,1,3,4,839717591
2,1000,118000,2,2,3,976483198
2,1000,118000,1,3,4,896081256
2,2000,118000,2,2,3,726074427
2,2000,118000,1,3,4,791056801
2,2000,118000,2,2,3,738017772
2,2000,118000,1,3,4,816756211
2,2000,118000,2,2,3,757686098
2,2000,118000,1,3,4,806120693
2,2000,118000,2,2,3,784063697
2,2000,118000,1,3,4,789968459
2,2000,118000,2,2,3,755745477
2,2000,118000,1,3,4,823600096
2,2000,118000,2,2,3,766916284
2,2000,118000,1,3,4,790973903
2,2000,118000,2,2,3,809339533
2,2000,118000,1,3,4,853443260
2,2000,118000,2,2,3,765115407
2,2000,118000,1,3,4,786263673
2,2000,118000,2,2,3,713559081
2,2000,118000,1,3,4,776601624
2,2000,118000,2,2,3,818310365
2,2000,118000,1,3,4,827631345
2,3000,118000,2,2,3,814292143
2,3000,118000,1,3,4,840762906
2,3000,118000,2,2,3,735972146
2,3000,118000,1,3,4,799017453
2,3000,118000,2,2,3,752152802
2,3000,118000,1,3,4,805810810
2,3000,118000,2,2,3,797728179
2,3000,118000,1,3,4,895563732
2,3000,118000,2,2,3,769974065
2,3000,118000,1,3,4,807792090
2,3000,118000,2,2,3,788113501
2,3000,118000,1,3,4,832409867
2,3000,118000,2,2,3,766955365
2,3000,118000,1,3,4,828125185
2,3000,118000,2,2,3,810624859
2,3000,118000,1,3,4,819807280
2,3000,118000,2,2,3,748406962
2,3000,118000,1,3,4,829575914
2,3000,118000,2,2,3,794739875
2,3000,118000,1,3,4,811489769
2,3000,118000,2,2,3,834170874
2,3000,118000,1,3,4,842631680
2,4000,118000,2,2,3,752862179
2,4000,118000,1,3,4,799838150
2,4000,118000,2,2,3,765782939
2,4000,118000,1,3,4,931145859
2,4000,118000,2,2,3,750912479
2,4000,118000,1,3,4,902408406
2,4000,118000,2,2,3,804266918
2,4000,118000,1,3,4,855710738
2,4000,118000,2,2,3,736440722
2,4000,118000,1,3,4,825935473
2,4000,118000,2,2,3,788323511
2,4000,118000,1,3,4,809774555
2,4000,118000,2,2,3,860426099
2,4000,118000,1,3,4,876129496
2,4000,118000,2,2,3,790740997
2,4000,118000,1,3,4,834593658
2,4000,118000,2,2,3,775948302
2,4000,118000,1,3,4,827833066
2,4000,118000,2,2,3,825406501
2,4000,118000,1,3,4,886338282
2,4000,118000,2,2,3,768136870
2,4000,118000,1,3,4,792923603
2,4000,118000,2,2,3,782057153
2,4000,118000,1,3,4,828454807
2,1000,117000,2,2,3,985390078
2,1000,117000,1,3,4,987880594
2,1000,117000,2,2,3,827887147
2,1000,117000,1,3,4,840952783
2,1000,117000,2,2,3,915117578
2,1000,117000,1,3,4,837754075
2,1000,117000,2,2,3,967463416
2,1000,117000,1,3,4,827559894
2,1000,117000,2,2,3,942453251
