search,split,n,time_taken
500,12500,12500,25733826017
500,12500,12500,24246669040
500,12500,12500,25034793092
500,12500,12500,23582163931
500,12500,12500,24168136083
500,12500,25000,24086283616
500,12500,25000,23768399229
500,12500,25000,23958880138
500,12500,25000,28064367102
500,12500,25000,23526592410
500,12500,50000,24774277555
500,12500,50000,23808340347
500,12500,50000,24707746790
500,12500,50000,24050857333
500,12500,50000,24151326936
500,25000,12500,24295378895
500,25000,12500,24187219427
500,25000,12500,24290611810
500,25000,12500,29216172483
500,25000,12500,24306198790
500,25000,25000,26381460396
500,25000,25000,23776121860
500,25000,25000,24843835712
500,25000,25000,25759803395
500,25000,25000,25146638802
500,25000,50000,30644848579
500,25000,50000,25485874015
500,25000,50000,26071532336
500,25000,50000,27314133800
500,25000,50000,25649309728
500,50000,12500,23350240250
500,50000,12500,24202008997
500,50000,12500,23343455166
500,50000,12500,29953582893
500,50000,12500,24297861522
500,50000,25000,26156992094
500,50000,25000,27862398370
500,50000,25000,26325041726
500,50000,25000,23384740037
500,50000,25000,24883917757
500,50000,50000,24384510288
500,50000,50000,23030316548
500,50000,50000,26991639836
500,50000,50000,22803951044
500,50000,50000,30464957421
2500,12500,12500,23052246088
2500,12500,12500,22816199564
2500,12500,12500,30862846419
2500,12500,12500,25796338155
2500,12500,12500,23579450767
2500,12500,25000,23599379285
2500,12500,25000,23183146324
2500,12500,25000,24127337949
2500,12500,25000,24290496147
2500,12500,25000,26200902099
2500,12500,50000,24295547851
2500,12500,50000,23112165069
2500,12500,50000,23720420069
2500,12500,50000,24642640308
2500,12500,50000,27037022679
2500,25000,12500,23445104697
2500,25000,12500,23246306654
2500,25000,12500,22960765892
2500,25000,12500,23996007822
2500,25000,12500,24015227357
2500,25000,25000,23045050457
2500,25000,25000,23492988326
2500,25000,25000,23591435195
2500,25000,25000,24451259749
2500,25000,25000,23359888505
2500,25000,50000,22675060516
2500,25000,50000,22883059556
2500,25000,50000,22579366289
2500,25000,50000,23399405259
2500,25000,50000,23628973427
2500,50000,12500,23493513748
2500,50000,12500,22810953638
2500,50000,12500,24350613690
2500,50000,12500,22749096401
2500,50000,12500,22057799924
2500,50000,25000,22822810559
2500,50000,25000,24088125946
2500,50000,25000,23894419479
2500,50000,25000,23195658542
2500,50000,25000,23480577167
2500,50000,50000,23753389779
2500,50000,50000,23769210454
2500,50000,50000,28322851614
2500,50000,50000,23855062601
2500,50000,50000,23498221225
12500,12500,12500,23440730790
12500,12500,12500,23754199820
12500,12500,12500,23215691274
12500,12500,12500,23271523731
12500,12500,12500,23240219501
12500,12500,25000,24694694151
12500,12500,25000,24094638648
12500,12500,25000,23465550346
12500,12500,25000,24456622917
12500,12500,25000,23336989835
12500,12500,50000,23337416568
12500,12500,50000,23660992561
12500,12500,50000,23358098281
12500,12500,50000,23032005318
12500,12500,50000,23808772211
12500,25000,12500,23389980041
12500,25000,12500,23705711028
12500,25000,12500,24551681586
12500,25000,12500,27256845481
12500,25000,12500,27435593422
12500,25000,25000,23159261552
12500,25000,25000,23352803011
12500,25000,25000,23701613846
12500,25000,25000,23344898002
12500,25000,25000,23145383869
12500,25000,50000,23540468513
12500,25000,50000,25047629010
12500,25000,50000,22868886201
12500,25000,50000,23001971022
12500,25000,50000,22978511798
12500,50000,12500,23076808264
12500,50000,12500,23404810667
12500,50000,12500,23033263804
12500,50000,12500,24045099013
12500,50000,12500,23517396546
12500,50000,25000,22150632953
12500,50000,25000,22279045430
12500,50000,25000,23089176000
12500,50000,25000,23136391305
12500,50000,25000,24325046463
12500,50000,50000,23065987580
12500,50000,50000,23306537096
12500,50000,50000,24112696017
12500,50000,50000,23336679952
12500,50000,50000,22719216060
