nodes,split,n,line_consumers,line_searchers,search_segments,time_taken
2,16000,150000,2,2,3,1801670607
2,124000,150000,2,2,3,302503148
2,2000,150000,2,2,3,1718836180
2,16000,150000,2,2,3,1771366764
2,124000,150000,2,2,3,326962629
2,2000,150000,2,2,3,1956822766
2,16000,150000,2,2,3,1777669439
2,124000,150000,2,2,3,306871913
2,2000,150000,2,2,3,1802344456
2,16000,150000,2,2,3,1668648869
2,124000,150000,2,2,3,319041454
2,2000,150000,2,2,3,1830496880
2,16000,150000,2,2,3,1746649903
2,124000,150000,2,2,3,309753633
2,2000,150000,2,2,3,1954070922
2,16000,150000,2,2,3,1683028648
2,124000,150000,2,2,3,281046972
2,2000,140000,2,2,3,1782167290
2,16000,140000,2,2,3,1569619179
2,124000,140000,2,2,3,282339009
2,2000,140000,2,2,3,1743455536
2,16000,140000,2,2,3,1633141745
2,124000,140000,2,2,3,302220897
2,2000,140000,2,2,3,1705764623
2,16000,140000,2,2,3,1537120886
2,124000,140000,2,2,3,279991394
2,2000,140000,2,2,3,1911974530
2,16000,140000,2,2,3,1531512587
2,124000,140000,2,2,3,282333482
2,2000,140000,2,2,3,1826009687
2,16000,140000,2,2,3,1698516902
2,124000,140000,2,2,3,312247702
2,2000,140000,2,2,3,1882738897
2,16000,140000,2,2,3,1635510676
2,124000,140000,2,2,3,307265090
2,2000,140000,2,2,3,1871807311
2,16000,140000,2,2,3,1552545585
2,124000,140000,2,2,3,275686185
2,2000,140000,2,2,3,1996636678
2,16000,140000,2,2,3,1653511158
2,124000,140000,2,2,3,288394962
2,2000,140000,2,2,3,1749142787
2,16000,140000,2,2,3,1686461841
2,124000,140000,2,2,3,297051567
2,2000,140000,2,2,3,1899120483
2,16000,140000,2,2,3,1566094797
2,124000,140000,2,2,3,281323301
2,2000,140000,2,2,3,1809530991
2,16000,140000,2,2,3,1533623742
2,124000,140000,2,2,3,268280956
2,2000,130000,2,2,3,1757848343
2,16000,130000,2,2,3,1609342297
2,124000,130000,2,2,3,287019237
2,2000,130000,2,2,3,1660962968
2,16000,130000,2,2,3,1404905239
2,124000,130000,2,2,3,250350740
2,2000,130000,2,2,3,1676081335
2,16000,130000,2,2,3,1548556179
2,124000,130000,2,2,3,271447689
2,2000,130000,2,2,3,1636152549
2,16000,130000,2,2,3,1544952451
2,124000,130000,2,2,3,269419037
2,2000,130000,2,2,3,1750387453
2,16000,130000,2,2,3,1434554182
2,124000,130000,2,2,3,266137035
2,2000,130000,2,2,3,1763540725
2,16000,130000,2,2,3,1558768124
2,124000,130000,2,2,3,257505299
2,2000,130000,2,2,3,1629790266
2,16000,130000,2,2,3,1434359568
2,124000,130000,2,2,3,276233316
2,2000,130000,2,2,3,1688654711
2,16000,130000,2,2,3,1418999214
2,124000,130000,2,2,3,254925174
2,2000,130000,2,2,3,1777896424
2,16000,130000,2,2,3,1517918372
2,124000,130000,2,2,3,260313199
2,2000,130000,2,2,3,1635505939
2,16000,130000,2,2,3,1394629738
2,124000,130000,2,2,3,265465556
2,2000,130000,2,2,3,1685527848
2,16000,130000,2,2,3,1462064732
2,124000,130000,2,2,3,309238476
2,2000,130000,2,2,3,1753337070
2,16000,130000,2,2,3,1696450354
2,124000,130000,2,2,3,285095985
2,2000,120000,2,2,3,1322427671
2,16000,120000,2,2,3,1430927163
2,124000,120000,2,2,3,296327979
2,2000,120000,2,2,3,1581812009
2,16000,120000,2,2,3,1367019315
2,124000,120000,2,2,3,306594795
2,2000,120000,2,2,3,1420194141
2,16000,120000,2,2,3,1354688716
2,124000,120000,2,2,3,277277052
2,2000,120000,2,2,3,1549344113
2,16000,120000,2,2,3,1439895232
2,124000,120000,2,2,3,275394460
2,2000,120000,2,2,3,1327060923
2,16000,120000,2,2,3,1413458023
2,124000,120000,2,2,3,296121917
2,2000,120000,2,2,3,1340073267
2,16000,120000,2,2,3,1324268813
2,124000,120000,2,2,3,254480283
2,2000,120000,2,2,3,1382032677
2,16000,120000,2,2,3,1377847080
2,124000,120000,2,2,3,294716979
2,2000,120000,2,2,3,1436912455
2,16000,120000,2,2,3,1391029563
2,124000,120000,2,2,3,320114006
2,2000,120000,2,2,3,1417577697
2,16000,120000,2,2,3,1353176799
2,124000,120000,2,2,3,264008117
2,2000,120000,2,2,3,1317766786
2,16000,120000,2,2,3,1351411056
2,124000,120000,2,2,3,305634748
2,2000,120000,2,2,3,1417653096
2,16000,120000,2,2,3,1331871814
2,124000,120000,2,2,3,309246371
2,2000,120000,2,2,3,1358799310
2,16000,120000,2,2,3,1362061179
2,124000,120000,2,2,3,274244535
2,2000,120000,2,2,3,1470055385
2,16000,120000,2,2,3,1269928272
2,124000,120000,2,2,3,263170444
2,2000,110000,2,2,3,1277237181
2,16000,110000,2,2,3,1244288077
2,124000,110000,2,2,3,294626975
2,2000,110000,2,2,3,1285918262
2,16000,110000,2,2,3,1197297894
2,124000,110000,2,2,3,317575330
2,2000,110000,2,2,3,1381442912
2,16000,110000,2,2,3,1229147603
2,124000,110000,2,2,3,299726434
2,2000,110000,2,2,3,1245822494
2,16000,110000,2,2,3,1204537721
2,124000,110000,2,2,3,271229389
2,2000,110000,2,2,3,1334635896
2,16000,110000,2,2,3,1342542466
2,124000,110000,2,2,3,270659756
2,2000,110000,2,2,3,1346377916
2,16000,110000,2,2,3,1183843029
2,124000,110000,2,2,3,256605650
2,2000,110000,2,2,3,1314185954
2,16000,110000,2,2,3,1254304617
2,124000,110000,2,2,3,252999159
2,2000,110000,2,2,3,1263458616
2,16000,110000,2,2,3,1244857316
2,124000,110000,2,2,3,284543327
2,2000,110000,2,2,3,1336762053
2,16000,110000,2,2,3,1181233692
2,124000,110000,2,2,3,264538273
2,2000,110000,2,2,3,1278277758
2,16000,110000,2,2,3,1237568934
2,124000,110000,2,2,3,295698344
2,2000,110000,2,2,3,1356071941
2,16000,110000,2,2,3,1228992859
2,124000,110000,2,2,3,298819679
2,2000,110000,2,2,3,1237251156
2,16000,110000,2,2,3,1203316740
2,124000,110000,2,2,3,299361679
2,2000,110000,2,2,3,1431929055
2,16000,110000,2,2,3,1228263350
2,124000,110000,2,2,3,281678582
2,2000,110000,2,2,3,1301160583
2,16000,110000,2,2,3,1179649141
2,124000,110000,2,2,3,285870101
2,2000,100000,2,2,3,1267529341
2,16000,100000,2,2,3,1117065304
2,124000,100000,2,2,3,257832158
2,2000,100000,2,2,3,1145793677
2,16000,100000,2,2,3,1087756246
2,124000,100000,2,2,3,243676600
2,2000,100000,2,2,3,1194030498
2,16000,100000,2,2,3,1122872561
2,124000,100000,2,2,3,234652081
2,2000,100000,2,2,3,1142788004
2,16000,100000,2,2,3,1084291077
2,124000,100000,2,2,3,257497404
2,2000,100000,2,2,3,1246349493
2,16000,100000,2,2,3,1116660285
2,124000,100000,2,2,3,284299762
2,2000,100000,2,2,3,1179491633
2,16000,100000,2,2,3,1067601581
2,124000,100000,2,2,3,292209489
2,2000,100000,2,2,3,1293676008
2,16000,100000,2,2,3,1134361936
2,124000,100000,2,2,3,276725183
2,2000,100000,2,2,3,1147802590
2,16000,100000,2,2,3,1107719060
2,124000,100000,2,2,3,270535803
2,2000,100000,2,2,3,1247519550
2,16000,100000,2,2,3,1138828996
2,124000,100000,2,2,3,281288563
2,2000,100000,2,2,3,1121016812
2,16000,100000,2,2,3,1096434563
2,124000,100000,2,2,3,270735549
2,2000,100000,2,2,3,1283037332
2,16000,100000,2,2,3,1156249186
2,124000,100000,2,2,3,237883554
2,2000,100000,2,2,3,1114468204
2,16000,100000,2,2,3,1120299541
2,124000,100000,2,2,3,282927590
2,2000,100000,2,2,3,1205965948
2,16000,100000,2,2,3,1123441799
2,124000,100000,2,2,3,284631751
2,2000,100000,2,2,3,1148391172
2,16000,100000,2,2,3,1109187947
2,124000,100000,2,2,3,309998381
2,2000,100000,2,2,3,1172963552
2,16000,100000,2,2,3,1204489955
2,124000,100000,2,2,3,281978202
2,2000,90000,2,2,3,1035626735
2,16000,90000,2,2,3,924624093
2,124000,90000,2,2,3,223480090
2,2000,90000,2,2,3,1061646686
2,16000,90000,2,2,3,963423482
2,124000,90000,2,2,3,247157165
2,2000,90000,2,2,3,1125008586
2,16000,90000,2,2,3,988661421
2,124000,90000,2,2,3,277576671
2,2000,90000,2,2,3,1053874333
2,16000,90000,2,2,3,960446627
2,124000,90000,2,2,3,225569534
2,2000,90000,2,2,3,1133058847
2,16000,90000,2,2,3,1015722344
2,124000,90000,2,2,3,265264230
2,2000,90000,2,2,3,1128293352
2,16000,90000,2,2,3,1001451123
2,124000,90000,2,2,3,245523664
2,2000,90000,2,2,3,1106933496
2,16000,90000,2,2,3,1017806262
2,124000,90000,2,2,3,237567355
2,2000,90000,2,2,3,1075114183
2,16000,90000,2,2,3,969756948
2,124000,90000,2,2,3,282923247
2,2000,90000,2,2,3,1024772127
2,16000,90000,2,2,3,1097558039
2,124000,90000,2,2,3,270234209
2,2000,90000,2,2,3,1160535052
2,16000,90000,2,2,3,927215667
2,124000,90000,2,2,3,260632557
2,2000,90000,2,2,3,1025820599
2,16000,90000,2,2,3,957311079
2,124000,90000,2,2,3,233012660
2,2000,90000,2,2,3,1180577607
2,16000,90000,2,2,3,976282266
2,124000,90000,2,2,3,224363950
2,2000,90000,2,2,3,1028503756
2,16000,90000,2,2,3,976076598
2,124000,90000,2,2,3,289841347
2,2000,90000,2,2,3,1140171956
2,16000,90000,2,2,3,1014697952
2,124000,90000,2,2,3,282157815
2,2000,90000,2,2,3,1095166212
2,16000,90000,2,2,3,956235764
2,124000,90000,2,2,3,249114365
2,2000,90000,2,2,3,1081286588
2,16000,90000,2,2,3,1041025024
2,124000,90000,2,2,3,272673012
2,2000,80000,2,2,3,966395207
2,16000,80000,2,2,3,853091532
2,124000,80000,2,2,3,277645753
2,2000,80000,2,2,3,927327777
2,16000,80000,2,2,3,843797790
2,124000,80000,2,2,3,218825127
2,2000,80000,2,2,3,993032556
2,16000,80000,2,2,3,883002199
2,124000,80000,2,2,3,241313195
2,2000,80000,2,2,3,922772687
2,16000,80000,2,2,3,836036886
2,124000,80000,2,2,3,221608947
2,2000,80000,2,2,3,914044236
2,16000,80000,2,2,3,853231670
2,124000,80000,2,2,3,249663470
2,2000,80000,2,2,3,984274892
2,16000,80000,2,2,3,857230549
2,124000,80000,2,2,3,269312058
2,2000,80000,2,2,3,944198073
2,16000,80000,2,2,3,861407463
2,124000,80000,2,2,3,234504838
2,2000,80000,2,2,3,954353567
2,16000,80000,2,2,3,895682553
2,124000,80000,2,2,3,237908819
2,2000,80000,2,2,3,944039775
2,16000,80000,2,2,3,878527244
2,124000,80000,2,2,3,262915827
2,2000,80000,2,2,3,943574753
2,16000,80000,2,2,3,856690918
2,124000,80000,2,2,3,258408501
2,2000,80000,2,2,3,965234229
2,16000,80000,2,2,3,878781467
2,124000,80000,2,2,3,295705843
2,2000,80000,2,2,3,932898180
