nodes,split,n,line_consumers,line_searchers,search_segments,time_taken
2,2000,120000,2,2,3,2318391290
2,3000,120000,2,2,3,1415438120
2,4000,120000,2,2,3,1334848670
2,2000,120000,1,3,4,1347930887
2,3000,120000,1,3,4,1314309118
2,4000,120000,1,3,4,1372358391
2,2000,110000,2,2,3,1157437007
2,3000,110000,2,2,3,1115160212
2,4000,110000,2,2,3,1098412291
2,2000,110000,1,3,4,1278202359
2,3000,110000,1,3,4,1252463475
2,4000,110000,1,3,4,1249346876
2,2000,110000,2,2,3,1128717714
2,3000,110000,2,2,3,1131640882
2,4000,110000,2,2,3,1207442730
2,2000,110000,1,3,4,1287584922
2,3000,110000,1,3,4,1247233352
2,4000,110000,1,3,4,1192839125
2,2000,100000,2,2,3,1116326321
2,3000,100000,2,2,3,1076683338
2,4000,100000,2,2,3,1086581452
2,2000,100000,1,3,4,1151717781
2,3000,100000,1,3,4,1141127265
2,4000,100000,1,3,4,1129670260
2,2000,100000,2,2,3,1057547144
2,3000,100000,2,2,3,1109400326
2,4000,100000,2,2,3,1014904804
2,2000,100000,1,3,4,1187535578
2,3000,100000,1,3,4,1265745043
2,4000,100000,1,3,4,1194547234
2,2000,100000,2,2,3,1081888986
2,3000,100000,2,2,3,1110869213
2,4000,100000,2,2,3,1157063568
2,2000,100000,1,3,4,1267640662
2,3000,100000,1,3,4,1221606184
2,4000,100000,1,3,4,1247526261
2,2000,90000,2,2,3,1062223424
2,3000,90000,2,2,3,1056936061
2,4000,90000,2,2,3,974437966
2,2000,90000,1,3,4,1093833911
2,3000,90000,1,3,4,1114618212
2,4000,90000,1,3,4,1094247615
2,2000,90000,2,2,3,1039869572
2,3000,90000,2,2,3,990176101
2,4000,90000,2,2,3,1080401941
2,2000,90000,1,3,4,1077851026
2,3000,90000,1,3,4,1098285969
2,4000,90000,1,3,4,1127893858
2,2000,90000,2,2,3,945063773
2,3000,90000,2,2,3,1089891877
2,4000,90000,2,2,3,964484192
2,2000,90000,1,3,4,1140138401
2,3000,90000,1,3,4,1130358320
2,4000,90000,1,3,4,1119272386
2,2000,90000,2,2,3,1082288874
2,3000,90000,2,2,3,992208304
2,4000,90000,2,2,3,958348893
2,2000,90000,1,3,4,1202971723
2,3000,90000,1,3,4,1135570284
2,4000,90000,1,3,4,1217324660
2,2000,80000,2,2,3,886510396
2,3000,80000,2,2,3,983929480
2,4000,80000,2,2,3,920297567
2,2000,80000,1,3,4,1029755923
2,3000,80000,1,3,4,1031906948
2,4000,80000,1,3,4,1049867560
2,2000,80000,2,2,3,860029370
2,3000,80000,2,2,3,887050027
2,4000,80000,2,2,3,932908050
2,2000,80000,1,3,4,1032380261
