nodes,split,n,line_consumers,line_searchers,search_segments,time_taken
2,1000,10000,2,2,3,655564679
2,1000,10000,1,3,4,427508576
2,2000,10000,2,2,3,143130257
2,2000,10000,1,3,4,237196285
2,2000,10000,2,2,3,143169338
2,2000,10000,1,3,4,225477556
2,3000,10000,2,2,3,121599078
2,3000,10000,1,3,4,185789966
2,3000,10000,2,2,3,123789974
2,3000,10000,1,3,4,191636698
2,3000,10000,2,2,3,120181509
2,3000,10000,1,3,4,202493674
2,4000,10000,2,2,3,105084853
2,4000,10000,1,3,4,161953411
2,4000,10000,2,2,3,104963268
2,4000,10000,1,3,4,154948464
2,4000,10000,2,2,3,102722238
2,4000,10000,1,3,4,156962510
2,4000,10000,2,2,3,114056474
2,4000,10000,1,3,4,169165604
2,1000,11000,2,2,3,144217021
2,1000,11000,1,3,4,247376649
2,1000,11000,2,2,3,138081723
2,1000,11000,1,3,4,294124450
2,1000,11000,2,2,3,182787452
2,1000,11000,1,3,4,288008495
2,1000,11000,2,2,3,148506440
2,1000,11000,1,3,4,245872234
2,1000,11000,2,2,3,152006743
2,1000,11000,1,3,4,236634152
2,2000,11000,2,2,3,152080561
2,2000,11000,1,3,4,240931467
2,2000,11000,2,2,3,140616451
2,2000,11000,1,3,4,230518986
2,2000,11000,2,2,3,163591254
2,2000,11000,1,3,4,248116027
2,2000,11000,2,2,3,148930803
2,2000,11000,1,3,4,224535273
2,2000,11000,2,2,3,141785719
2,2000,11000,1,3,4,208516862
2,2000,11000,2,2,3,141745454
2,2000,11000,1,3,4,240993048
2,3000,11000,2,2,3,133291752
2,3000,11000,1,3,4,200619767
2,3000,11000,2,2,3,107892753
2,3000,11000,1,3,4,223185997
2,3000,11000,2,2,3,126552477
2,3000,11000,1,3,4,215131789
2,3000,11000,2,2,3,149320822
2,3000,11000,1,3,4,210958033
2,3000,11000,2,2,3,118180096
2,3000,11000,1,3,4,181185137
2,3000,11000,2,2,3,129478409
2,3000,11000,1,3,4,232746989
2,3000,11000,2,2,3,144478744
2,3000,11000,1,3,4,222362142
2,4000,11000,2,2,3,101772455
2,4000,11000,1,3,4,173762143
2,4000,11000,2,2,3,117814552
2,4000,11000,1,3,4,183032200
2,4000,11000,2,2,3,125417158
2,4000,11000,1,3,4,187791774
2,4000,11000,2,2,3,110526960
2,4000,11000,1,3,4,180293778
2,4000,11000,2,2,3,113273277
2,4000,11000,1,3,4,204799839
2,4000,11000,2,2,3,102827243
2,4000,11000,1,3,4,186227751
2,4000,11000,2,2,3,114613080
2,4000,11000,1,3,4,182723896
2,4000,11000,2,2,3,108645553
2,4000,11000,1,3,4,182124261
2,1000,12000,2,2,3,149554913
2,1000,12000,1,3,4,251045116
2,1000,12000,2,2,3,159139590
2,1000,12000,1,3,4,241296221
2,1000,12000,2,2,3,152794281
2,1000,12000,1,3,4,235479096
2,1000,12000,2,2,3,154329487
2,1000,12000,1,3,4,242611943
2,1000,12000,2,2,3,146949523
2,1000,12000,1,3,4,250138757
2,1000,12000,2,2,3,158094276
2,1000,12000,1,3,4,249021597
2,1000,12000,2,2,3,148841983
2,1000,12000,1,3,4,295496623
2,1000,12000,2,2,3,183952377
2,1000,12000,1,3,4,249819005
2,1000,12000,2,2,3,148792243
2,1000,12000,1,3,4,249167263
2,2000,12000,2,2,3,137885923
2,2000,12000,1,3,4,236206631
2,2000,12000,2,2,3,135569495
2,2000,12000,1,3,4,235533966
2,2000,12000,2,2,3,143468564
2,2000,12000,1,3,4,245606168
2,2000,12000,2,2,3,140369333
2,2000,12000,1,3,4,238564509
2,2000,12000,2,2,3,137919477
2,2000,12000,1,3,4,235128552
2,2000,12000,2,2,3,141591894
2,2000,12000,1,3,4,240130902
2,2000,12000,2,2,3,151887131
2,2000,12000,1,3,4,224642252
2,2000,12000,2,2,3,141686635
2,2000,12000,1,3,4,233166220
2,2000,12000,2,2,3,136401641
2,2000,12000,1,3,4,237969217
2,2000,12000,2,2,3,143207235
2,2000,12000,1,3,4,239416393
2,3000,12000,2,2,3,129170500
2,3000,12000,1,3,4,220442048
2,3000,12000,2,2,3,130567541
2,3000,12000,1,3,4,231076776
2,3000,12000,2,2,3,158951291
