nodes,split,n,line_consumers,line_searchers,search_segments,time_taken
1,16000,256000,2,2,3,2035865957
1,64000,256000,2,2,3,1546693721
1,128000,256000,2,2,3,543744498
1,16000,244000,2,2,3,1739613376
1,64000,244000,2,2,3,1420157428
1,128000,244000,2,2,3,438093960
1,16000,244000,2,2,3,1603862293
1,64000,244000,2,2,3,1286712116
1,128000,244000,2,2,3,427332515
1,16000,232000,2,2,3,1615038627
1,64000,232000,2,2,3,1219616218
1,128000,232000,2,2,3,408381460
1,16000,232000,2,2,3,1502161289
1,64000,232000,2,2,3,1320667453
1,128000,232000,2,2,3,403718207
1,16000,232000,2,2,3,1602588415
1,64000,232000,2,2,3,1216697392
1,128000,232000,2,2,3,417000170
1,16000,220000,2,2,3,1487714797
1,64000,220000,2,2,3,1107953940
1,128000,220000,2,2,3,450266263
1,16000,220000,2,2,3,1364502745
1,64000,220000,2,2,3,1084331343
1,128000,220000,2,2,3,401686398
1,16000,220000,2,2,3,1426830780
1,64000,220000,2,2,3,1217960217
1,128000,220000,2,2,3,389991750
1,16000,220000,2,2,3,1477941821
1,64000,220000,2,2,3,1117514537
1,128000,220000,2,2,3,390645071
1,16000,208000,2,2,3,1344648490
1,64000,208000,2,2,3,1132855942
1,128000,208000,2,2,3,402992646
1,16000,208000,2,2,3,1340073662
1,64000,208000,2,2,3,982996278
1,128000,208000,2,2,3,399868941
1,16000,208000,2,2,3,1367006289
1,64000,208000,2,2,3,1090428745
1,128000,208000,2,2,3,394279984
1,16000,208000,2,2,3,1304586670
1,64000,208000,2,2,3,1024293288
1,128000,208000,2,2,3,402076023
1,16000,208000,2,2,3,1371189518
1,64000,208000,2,2,3,1077468508
1,128000,208000,2,2,3,395480833
1,16000,196000,2,2,3,1254859249
1,64000,196000,2,2,3,910223787
1,128000,196000,2,2,3,403440694
1,16000,196000,2,2,3,1264597882
1,64000,196000,2,2,3,1000164218
1,128000,196000,2,2,3,381313037
1,16000,196000,2,2,3,1299112984
1,64000,196000,2,2,3,900272777
1,128000,196000,2,2,3,378990688
1,16000,196000,2,2,3,1280173377
1,64000,196000,2,2,3,1053177983
1,128000,196000,2,2,3,383472748
