size,1,2,3,4,5,6,7,8,9,10,11,12
512,8684,219090,236854,264487,373440,397914,544764,575949,716483,688850,804514,861359
512,7895,216722,234090,318964,354491,433443,507657,577924,593714,752800,892939,1173611
512,9080,171325,215142,288172,373440,418047,450812,539237,564897,683323,753590,753590
512,7895,190668,244354,263697,325674,410152,442916,523446,547922,837673,715298,819909
512,13422,257381,215142,281856,277514,384098,454365,500946,615426,604372,677797,776881
512,8289,194220,201721,238827,328437,336727,444890,460681,547132,659243,726352,685297
512,8290,181588,189483,255802,283830,377781,421599,441732,545553,598845,711351,733852
1024,15790,178430,202510,238827,306331,385677,427521,482787,569239,647005,608320,759116
1024,28027,165797,202510,235670,339490,330806,400678,509236,573581,542001,643058,735036
1024,15396,187115,186325,217906,331201,388045,379361,463049,538843,608320,648585,690429
1024,15790,178825,193036,249486,296462,362781,446864,483971,500946,628058,669901,736616
1024,25264,174482,202116,230143,305936,371861,411336,508446,536869,564107,625294,751222
1024,18159,169745,198563,345807,291330,335543,448443,576344,561738,600030,690824,749247
1024,15791,172509,200141,227775,255012,418047,447259,461470,541606,615031,670691,704245
1024,15790,190668,167771,268829,320148,373440,438179,529763,534895,610688,671875,722009
1024,15395,168561,188299,228170,288567,327253,451996,479629,517526,617005,657664,768590
1024,16185,171719,179615,216721,284619,341069,407388,434626,543975,607530,604767,798197
1024,17764,181982,207642,258960,300015,376203,431073,436995,530553,604767,724378,731878
1024,2369,182772,198957,279882,297251,354886,447654,484366,527394,573581,697535,749643
1024,2368,165008,230143,251065,311462,388046,403836,680165,588976,623715,675034,712930
1024,2368,172114,201721,244749,296462,386072,412126,501736,583845,598451,633979,753195
1024,2763,179614,195799,253828,327253,332385,433048,453181,508051,615030,707404,745300
1024,2368,172113,188298,219879,311068,390414,423968,473313,603188,573187,648190,766616
1024,2369,166192,196589,255408,313042,312647,433443,430679,546738,660033,689639,806093
1024,7106,225406,207247,253039,272382,412520,463839,514368,593319,598450,671876,673849
1024,3158,163035,182378,208036,313832,332780,441732,513183,519105,568449,686876,698719
1024,2764,175667,225801,252644,275935,410152,472129,495024,541211,665165,687665,729904
1024,2368,165008,184746,243959,355281,381730,513183,523052,591740,597267,647005,759511
1024,2368,163429,176850,226985,318568,376597,497393,495814,566870,603188,693192,699509
1024,2763,161850,190667,230932,318964,348570,367913,508446,498577,634768,714509,679375
1024,2368,165403,202905,252644,273566,365939,397125,486340,515947,684507,683718,738984
1024,2368,173693,206852,277119,296462,335148,420021,474497,536079,628847,628057,721614
1024,2369,194614,191851,258566,260144,337912,428311,437390,501735,579897,641874,678191
1024,3553,166981,189483,264486,285015,336332,412916,454365,490287,603977,609899,707403
1024,2369,166587,204878,243169,323306,363966,369887,454760,510815,563317,633584,764643
1024,2764,176062,256987,271592,327647,403835,452785,512393,567265,614240,684902,761485
1024,2368,184746,176456,215142,281856,334359,390809,475682,560159,612267,654901,678192
2048,4737,159877,190667,272777,298436,364755,458312,513578,583055,558581,671086,734247
2048,5132,181982,198958,223827,267645,363571,395546,489893,512394,560949,669507,697534
2048,5527,163034,179220,249881,320148,376597,423969,473313,519105,647005,613846,706219
2048,5132,172114,181983,211195,294094,344227,395546,497393,538053,621346,621347,722404
2048,5132,169745,170930,306726,337516,338700,436206,468576,546342,590950,705429,740958
2048,5132,162640,197773,211589,296463,334753,382519,458313,507262,550685,607925,703455
2048,11054,161850,174878,222642,281461,393177,478840,526210,499367,553054,648979,763459
2048,5132,188299,187904,216722,288567,323306,378571,465023,544369,577923,624899,701877
2048,4737,174087,185536,222248,257381,352123,402652,491472,553448,560554,620557,667138
