search,split,n,time_taken
500,12500,12500,142262131
500,12500,12500,72771479
500,12500,12500,51445916
500,12500,12500,57185683
500,12500,12500,56533149
500,12500,25000,127747311
500,12500,25000,75920060
500,12500,25000,105376038
500,12500,25000,70025154
500,12500,25000,78301629
500,12500,50000,161294945
500,12500,50000,108932798
500,12500,50000,111992165
500,12500,50000,113786335
500,12500,50000,103125923
500,25000,12500,51991865
500,25000,12500,50337438
500,25000,12500,56091416
500,25000,12500,58988932
500,25000,12500,60119912
500,25000,25000,116804252
500,25000,25000,73877587
500,25000,25000,80148697
500,25000,25000,72481727
500,25000,25000,82719750
500,25000,50000,193183020
500,25000,50000,211680149
500,25000,50000,106940855
500,25000,50000,130901025
500,25000,50000,126115386
500,50000,12500,237310932
500,50000,12500,105646841
500,50000,12500,48289045
500,50000,12500,48621825
500,50000,12500,54848327
500,50000,25000,115262726
500,50000,25000,73206106
500,50000,25000,77178940
500,50000,25000,76164020
500,50000,25000,80708857
500,50000,50000,160617937
500,50000,50000,117118479
500,50000,50000,107455618
500,50000,50000,96915211
500,50000,50000,153765745
2500,12500,12500,95596328
2500,12500,12500,52522813
2500,12500,12500,48672748
2500,12500,12500,49263305
2500,12500,12500,53156398
2500,12500,25000,82518424
2500,12500,25000,69751588
2500,12500,25000,68547184
2500,12500,25000,63350998
2500,12500,25000,83390046
2500,12500,50000,138354432
2500,12500,50000,98348573
2500,12500,50000,136244456
2500,12500,50000,98666353
2500,12500,50000,171527836
2500,25000,12500,127220706
2500,25000,12500,55001887
2500,25000,12500,49607927
2500,25000,12500,45990769
2500,25000,12500,51213404
2500,25000,25000,92450510
2500,25000,25000,70763744
2500,25000,25000,73736264
2500,25000,25000,90671735
2500,25000,25000,83032792
2500,25000,50000,237382383
2500,25000,50000,120326275
2500,25000,50000,108744499
2500,25000,50000,124514251
2500,25000,50000,107017437
2500,50000,12500,172499728
2500,50000,12500,107319426
2500,50000,12500,84065476
2500,50000,12500,125496012
2500,50000,12500,97815257
2500,50000,25000,204954279
2500,50000,25000,80447528
2500,50000,25000,67573318
2500,50000,25000,67198694
2500,50000,25000,74598808
2500,50000,50000,115534714
2500,50000,50000,107335611
2500,50000,50000,109545066
2500,50000,50000,107056518
2500,50000,50000,125709971
12500,12500,12500,135994969
12500,12500,12500,168611371
12500,12500,12500,57720973
12500,12500,12500,56001017
12500,12500,12500,48212067
12500,12500,25000,152412518
12500,12500,25000,70732163
12500,12500,25000,67625032
12500,12500,25000,73280320
12500,12500,25000,72072758
12500,12500,50000,147654906
12500,12500,50000,94089935
12500,12500,50000,108019725
12500,12500,50000,101378333
12500,12500,50000,107145734
12500,25000,12500,120677608
12500,25000,12500,60688362
12500,25000,12500,75088702
12500,25000,12500,57698078
12500,25000,12500,47886787
12500,25000,25000,150486103
12500,25000,25000,66672878
12500,25000,25000,78342684
12500,25000,25000,70081209
12500,25000,25000,69141688
12500,25000,50000,267978418
12500,25000,50000,193790157
12500,25000,50000,165031715
12500,25000,50000,122181632
12500,25000,50000,101837041
12500,50000,12500,56583284
12500,50000,12500,50458629
12500,50000,12500,52295827
12500,50000,12500,46854497
12500,50000,12500,47928236
12500,50000,25000,163276230
12500,50000,25000,87364855
12500,50000,25000,68109398
12500,50000,25000,63148882
12500,50000,25000,72591864
12500,50000,50000,181796255
12500,50000,50000,95073669
12500,50000,50000,107892219
12500,50000,50000,174320347
12500,50000,50000,99788647
